Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Have_Capacity(Ah),SoC(%)
12,170.1240302,11-04-2015 19:57:47,110.1090619,2,1,1.000014305,4.046185493,0.030581951,0,0.123369371,0,0.000194263,0,0,0,0,2.030581951,0
13,180.1395712,11-04-2015 19:57:57,120.1246029,2,1,0.999833703,4.047804356,0.033363672,0,0.134626979,0,0.000129509,0,0,0,0,2.033363672,0
14,190.1551414,11-04-2015 19:58:07,130.1401731,2,1,1.000014305,4.04974699,0.036145406,0,0.145889441,0,0.000194263,0,0,0,0,2.036145406,0
15,200.1706049,11-04-2015 19:58:17,140.1556366,2,1,0.999653101,4.051203728,0.038927082,0,0.157156436,0,0.000194249,0,0,0,0,2.038927082,0
16,210.1706305,11-04-2015 19:58:27,150.1556622,2,1,1.000014305,4.053146362,0.041704466,0,0.168410743,0,0.000161839,0,0,0,0,2.041704466,0
17,220.1863211,11-04-2015 19:58:37,160.1713529,2,1,1.000014305,4.054765224,0.04448622,0,0.179687558,0,0.000194263,0,0,0,0,2.04448622,0
18,230.201396,11-04-2015 19:58:48,170.1864276,2,1,0.999833703,4.056546211,0.047267798,0,0.190968324,0,0.000194263,0,0,0,0,2.047267798,0
19,240.2019684,11-04-2015 19:58:58,180.1870001,2,1,0.999833703,4.058002949,0.050045353,0,0.202237489,0,0.000129509,0,0,0,0,2.050045353,0
20,250.2167216,11-04-2015 19:59:08,190.2017534,2,1,0.999653101,4.059460163,0.052822719,0,0.213510566,0,9.72E-05,0,0,0,0,2.052822719,0
21,260.2167613,11-04-2015 19:59:18,200.2017931,2,1,1.000014305,4.061402798,0.055600083,0,0.224788084,0,0.000161934,0,0,0,0,2.055600083,0
22,270.2326569,11-04-2015 19:59:28,210.2176886,2,1,0.999833703,4.06302166,0.058386034,0,0.23610515,0,0.000160939,0,0,0,0,2.058386034,0
23,280.2482837,11-04-2015 19:59:38,220.2333154,2,1,0.999833703,4.064640522,0.06116774,0,0.247409596,0,0.000161934,0,0,0,0,2.06116774,0
24,290.2638257,11-04-2015 19:59:48,230.2488575,2,1,0.999833703,4.066421032,0.063949373,0,0.25871843,0,0.000161839,0,0,0,0,2.063949373,0
25,300.2793812,11-04-2015 19:59:58,240.2644129,2,1,0.999653101,4.068039894,0.066731044,0,0.270032073,0,0.000129509,0,0,0,0,2.066731044,0
26,310.2949406,11-04-2015 20:00:08,250.2799723,2,1,1.000014305,4.069820881,0.069512752,0,0.281350522,0,0.000161934,0,0,0,0,2.069512752,0
27,320.2950475,11-04-2015 20:00:18,260.2800793,2,1,0.999833703,4.071277618,0.072290186,0,0.292656189,0,0.000129509,0,0,0,0,2.072290186,0
28,330.310426,11-04-2015 20:00:28,270.2954577,2,1,1.000014305,4.073058605,0.075071817,0,0.30398354,0,0.000129509,0,0,0,0,2.075071817,0
29,340.3259563,11-04-2015 20:00:38,280.310988,2,1,0.999833703,4.074677467,0.077853473,0,0.315315597,0,0.000129509,0,0,0,0,2.077853473,0
30,350.3415172,11-04-2015 20:00:48,290.3265489,2,1,0.999833703,4.076296329,0.080635169,0,0.326652448,0,0.000129509,0,0,0,0,2.080635169,0
31,360.3570554,11-04-2015 20:00:58,300.3420871,2,1,0.999833703,4.078076839,0.083416869,0,0.337993907,0,0.000129509,0,0,0,0,2.083416869,0
32,370.3726235,11-04-2015 20:01:08,310.3576552,2,1,0.999653101,4.079534054,0.086198563,0,0.349339966,0,0.000129509,0,0,0,0,2.086198563,0
33,380.3881806,11-04-2015 20:01:18,320.3732123,2,1,0.999653101,4.081152916,0.088980287,0,0.360690836,0,9.72E-05,0,0,0,0,2.088980287,0
34,390.4037574,11-04-2015 20:01:28,330.3887891,2,1,1.000014305,4.082933426,0.091761993,0,0.372046078,0,0.000161839,0,0,0,0,2.091761993,0
35,400.4192973,11-04-2015 20:01:38,340.404329,2,1,0.999833703,4.084552288,0.094543703,0,0.38340599,0,0.000161839,0,0,0,0,2.094543703,0
36,410.4347501,11-04-2015 20:01:48,350.4197818,2,1,0.999833703,4.086333275,0.097325381,0,0.394770392,0,0.000129509,0,0,0,0,2.097325381,0
37,420.4347799,11-04-2015 20:01:58,360.4198117,2,1,0.999833703,4.087952137,0.100102754,0,0.40612172,0,0.000161934,0,0,0,0,2.100102754,0
38,430.449707,11-04-2015 20:02:08,370.4347387,2,1,0.999833703,4.089408875,0.102793322,0,0.417122672,0,0.000129509,0,0,0,0,2.102793322,0
39,440.4502459,11-04-2015 20:02:18,380.4352776,2,1,1.000014305,4.091351509,0.105661787,0,0.428855749,0,0.000161839,0,0,0,0,2.105661787,0
40,450.4654285,11-04-2015 20:02:28,390.4504603,2,1,0.999833703,4.092970371,0.108439109,0,0.440220603,0,0.000161839,0,0,0,0,2.108439109,0
41,460.4657398,11-04-2015 20:02:38,400.4507715,2,1,1.000014305,4.094589233,0.111220796,0,0.4516079,0,0.000194263,0,0,0,0,2.111220796,0
42,470.481362,11-04-2015 20:02:48,410.4663937,2,1,1.000014305,4.096208096,0.11400255,0,0.46300008,0,0.000129509,0,0,0,0,2.11400255,0
43,480.4968592,11-04-2015 20:02:58,420.4818909,2,1,0.999833703,4.097826958,0.11678422,0,0.474396506,0,0.000161839,0,0,0,0,2.11678422,0
44,490.5124027,11-04-2015 20:03:08,430.4974345,2,1,0.999833703,4.09944582,0.119565897,0,0.485797535,0,0.000129509,0,0,0,0,2.119565897,0
45,500.5279681,11-04-2015 20:03:18,440.5129999,2,1,0.999833703,4.101064682,0.122347659,0,0.497203524,0,0.000129509,0,0,0,0,2.122347659,0
46,510.5435512,11-04-2015 20:03:28,450.5285829,2,1,0.999653101,4.102521896,0.12512942,0,0.508614036,0,9.72E-05,0,0,0,0,2.12512942,0
47,520.5587154,11-04-2015 20:03:38,460.5437472,2,1,0.999833703,4.104464531,0.127906767,0,0.520011054,0,0.000161934,0,0,0,0,2.127906767,0
48,530.5592308,11-04-2015 20:03:48,470.5442625,2,1,0.999833703,4.106083393,0.130688526,0,0.531430718,0,0.000129509,0,0,0,0,2.130688526,0
49,540.5746744,11-04-2015 20:03:58,480.5597061,2,1,0.999833703,4.107702255,0.133470132,0,0.542854339,0,0.000129509,0,0,0,0,2.133470132,0
50,550.5747872,11-04-2015 20:04:08,490.5598189,2,1,0.999833703,4.109482765,0.136247551,0,0.55426538,0,0.000161839,0,0,0,0,2.136247551,0
51,560.5898865,11-04-2015 20:04:18,500.5749183,2,1,0.999833703,4.11093998,0.139029172,0,0.565698296,0,0.000129509,0,0,0,0,2.139029172,0
52,570.6056711,11-04-2015 20:04:28,510.5907029,2,1,0.999833703,4.112558842,0.141806514,0,0.577118196,0,0.000129509,0,0,0,0,2.141806514,0
53,580.6211437,11-04-2015 20:04:38,520.6061754,2,1,1.000194907,4.114339352,0.14459262,0,0.588578676,0,0.000161839,0,0,0,0,2.14459262,0
54,590.6367372,11-04-2015 20:04:48,530.6217689,2,1,1.000014305,4.115958214,0.147374302,0,0.600025567,0,0.000193662,0,0,0,0,2.147374302,0
55,600.6522364,11-04-2015 20:04:58,540.6372681,2,1,0.999653101,4.117577076,0.150155962,0,0.611477043,0,0.00016143,0,0,0,0,2.150155962,0
56,610.6678219,11-04-2015 20:05:08,550.6528536,2,1,0.999833703,4.119195938,0.15293762,0,0.622933022,0,0.000161934,0,0,0,0,2.15293762,0
57,620.6678239,11-04-2015 20:05:18,560.6528557,2,1,0.999833703,4.120976448,0.155714959,0,0.63437583,0,0.000161839,0,0,0,0,2.155714959,0
58,630.6833163,11-04-2015 20:05:28,570.668348,2,1,1.000014305,4.12259531,0.15849665,0,0.645841201,0,0.000161839,0,0,0,0,2.15849665,0
59,640.683321,11-04-2015 20:05:38,580.6683528,2,1,0.999833703,4.124214172,0.161274049,0,0.657293415,0,0.000129509,0,0,0,0,2.161274049,0
60,650.6989046,11-04-2015 20:05:48,590.6839365,2,1,1.000014305,4.125833035,0.164055781,0,0.66876813,0,0.000161839,0,0,0,0,2.164055781,0
61,660.7139327,11-04-2015 20:05:58,600.6989644,2,1,0.999833703,4.127614021,0.166833143,0,0.680229449,0,0.000194263,0,0,0,0,2.166833143,0
62,670.7143328,11-04-2015 20:06:08,610.6993646,2,1,0.999833703,4.129232883,0.169614848,0,0.691713324,0,0.000161934,0,0,0,0,2.169614848,0
63,680.7294787,11-04-2015 20:06:18,620.7145105,2,1,0.999833703,4.130851746,0.172392183,0,0.70318379,0,0.000129509,0,0,0,0,2.172392183,0
64,690.7296199,11-04-2015 20:06:28,630.7146516,2,1,0.999833703,4.132632256,0.175169568,0,0.714659136,0,0.000161839,0,0,0,0,2.175169568,0
65,700.7297108,11-04-2015 20:06:38,640.7147425,2,1,0.999833703,4.134251118,0.177951219,0,0.726156695,0,0.000193059,0,0,0,0,2.177951219,0
66,710.7452785,11-04-2015 20:06:48,650.7303103,2,1,0.999833703,4.135708332,0.1807329,0,0.737658986,0,0.000161934,0,0,0,0,2.1807329,0
67,720.7604529,11-04-2015 20:06:58,660.7454847,2,1,0.999833703,4.137650967,0.183510245,0,0.74914801,0,0.000193059,0,0,0,0,2.183510245,0
68,730.7608991,11-04-2015 20:07:08,670.745931,2,1,0.999833703,4.139269829,0.186291992,0,0.76065991,0,0.000161934,0,0,0,0,2.186291992,0
69,740.7762712,11-04-2015 20:07:18,680.761303,2,1,1.000014305,4.141050339,0.189073625,0,0.772176066,0,0.00019306,0,0,0,0,2.189073625,0
70,750.7918499,11-04-2015 20:07:28,690.7768817,2,1,0.999653101,4.142507553,0.191855341,0,0.783697214,0,0.000161934,0,0,0,0,2.191855341,0
71,760.7919493,11-04-2015 20:07:38,700.776981,2,1,0.999833703,4.144288063,0.194632736,0,0.795205124,0,0.000161839,0,0,0,0,2.194632736,0
72,770.8074106,11-04-2015 20:07:48,710.7924423,2,1,0.999833703,4.145906925,0.197414398,0,0.806735694,0,9.71E-05,0,0,0,0,2.197414398,0
73,780.8228907,11-04-2015 20:07:58,720.8079225,2,1,0.999833703,4.147687912,0.200196049,0,0.818270883,0,0.000161934,0,0,0,0,2.200196049,0
74,790.8384422,11-04-2015 20:08:08,730.8234739,2,1,0.999833703,4.149468422,0.202977711,0,0.829810858,0,0.000161839,0,0,0,0,2.202977711,0
75,800.8539879,11-04-2015 20:08:18,740.8390196,2,1,0.999833703,4.151087284,0.205759411,0,0.841355766,0,0.000161839,0,0,0,0,2.205759411,0
76,810.8695775,11-04-2015 20:08:28,750.8546092,2,1,0.999833703,4.152706146,0.208541077,0,0.852905211,0,0.000129509,0,0,0,0,2.208541077,0
77,820.8851096,11-04-2015 20:08:38,760.8701413,2,1,1.000014305,4.154648781,0.211322744,0,0.86445943,0,0.000161839,0,0,0,0,2.211322744,0
78,830.9006604,11-04-2015 20:08:48,770.8856921,2,1,0.999833703,4.156267643,0.214104426,0,0.876018458,0,0.000129509,0,0,0,0,2.214104426,0
79,840.9162045,11-04-2015 20:08:58,780.9012362,2,1,0.999653101,4.157886505,0.216886122,0,0.88758229,0,0.000129509,0,0,0,0,2.216886122,0
80,850.9315269,11-04-2015 20:09:08,790.9165586,2,1,0.999653101,4.159667492,0.21966348,0,0.899132873,0,0.000129509,0,0,0,0,2.21966348,0
81,860.9473241,11-04-2015 20:09:18,800.9323558,2,1,0.999833703,4.161448002,0.222449469,0,0.910724196,0,0.000161839,0,0,0,0,2.222449469,0
82,870.9628782,11-04-2015 20:09:28,810.9479099,2,1,1.000014305,4.163228989,0.225231158,0,0.922302414,0,0.000161934,0,0,0,0,2.225231158,0
83,880.9785307,11-04-2015 20:09:38,820.9635624,2,1,0.999833703,4.164685726,0.228012875,0,0.933885514,0,0.000129509,0,0,0,0,2.228012875,0
84,890.9940158,11-04-2015 20:09:48,830.9790475,2,1,1.000014305,4.166628361,0.230794587,0,0.945473521,0,0.000129509,0,0,0,0,2.230794587,0
85,901.0095477,11-04-2015 20:09:58,840.9945794,2,1,0.999833703,4.168247223,0.233576267,0,0.957066157,0,0.000129509,0,0,0,0,2.233576267,0
86,911.0250917,11-04-2015 20:10:08,851.0101234,2,1,0.999653101,4.17002821,0.236357928,0,0.968663589,0,0.000129509,0,0,0,0,2.236357928,0
87,921.0406369,11-04-2015 20:10:18,861.0256686,2,1,0.999653101,4.171647072,0.239139576,0,0.980265847,0,0.000129509,0,0,0,0,2.239139576,0
88,931.0562153,11-04-2015 20:10:28,871.041247,2,1,0.999833703,4.173589706,0.241921266,0,0.99187319,0,0.000129509,0,0,0,0,2.241921266,0
89,941.0717755,11-04-2015 20:10:38,881.0568072,2,1,0.999833703,4.175370216,0.244702979,0,1.003485491,0,0.000161839,0,0,0,0,2.244702979,0
90,951.0720381,11-04-2015 20:10:48,891.05707,2,1,0.999833703,4.177151203,0.247480433,0,1.015084895,0,0.000161934,0,0,0,0,2.247480433,0
91,961.087245,11-04-2015 20:10:58,901.0722767,2,1,0.999653101,4.178931713,0.250262029,0,1.026706547,0,0.000194263,0,0,0,0,2.250262029,0
92,971.1028295,11-04-2015 20:11:08,911.0878612,2,1,0.999833703,4.1807127,0.253043702,0,1.038333411,0,0.000194263,0,0,0,0,2.253043702,0
93,981.1183475,11-04-2015 20:11:18,921.1033792,2,1,0.999833703,4.18249321,0.255825367,0,1.049965204,0,0.000161839,0,0,0,0,2.255825367,0
94,991.1339204,11-04-2015 20:11:28,931.1189521,2,1,0.999833703,4.184274197,0.258607106,0,1.061602306,0,0.000129509,0,0,0,0,2.258607106,0
95,1001.149454,11-04-2015 20:11:38,941.1344855,2,1,0.999833703,4.186054707,0.26138879,0,1.073244063,0,0.000161839,0,0,0,0,2.26138879,0
96,1011.165047,11-04-2015 20:11:48,951.150079,2,1,0.999833703,4.187835693,0.264170518,0,1.084891055,0,0.000161934,0,0,0,0,2.264170518,0
97,1021.180297,11-04-2015 20:11:58,961.1653289,2,1,0.999833703,4.189778328,0.266952129,0,1.096542594,0,0.000194263,0,0,0,0,2.266952129,0
98,1031.180338,11-04-2015 20:12:08,971.1653697,2,1,0.999833703,4.19139719,0.269729506,0,1.108181382,0,0.000129509,0,0,0,0,2.269729506,0
99,1041.196072,11-04-2015 20:12:19,981.1811035,2,1,0.999653101,4.1931777,0.272511238,0,1.119843465,0,0.000129509,0,0,0,0,2.272511238,0
100,1051.211682,11-04-2015 20:12:29,991.1967141,2,1,0.999653101,4.19495821,0.27529296,0,1.131510626,0,9.71E-05,0,0,0,0,2.27529296,0
101,1061.227203,11-04-2015 20:12:39,1001.212235,2,1,0.999833703,4.196900845,0.278074638,0,1.143182549,0,0.000161839,0,0,0,0,2.278074638,0
102,1071.242814,11-04-2015 20:12:49,1011.227846,2,1,0.999833703,4.198681831,0.280856357,0,1.154859812,0,0.000194263,0,0,0,0,2.280856357,0
103,1077.898926,11-04-2015 20:12:55,1017.883958,2,1,0.999833703,4.200138569,0.28270502,0,1.162623057,0,0.000226593,0,0,0,0,2.28270502,0
104,1087.914915,11-04-2015 20:13:05,10.01556464,3,1,0.972381115,4.199814796,0.28544242,0,1.1741194,0,0,0,0,0,0,2.28544242,0
105,1097.930404,11-04-2015 20:13:15,20.03105354,3,1,0.95052737,4.199814796,0.288116908,0,1.185351526,0,3.23E-05,0,0,0,0,2.288116908,0
106,1107.945939,11-04-2015 20:13:25,30.04658844,3,1,0.929757297,4.199814796,0.29073274,0,1.196337307,0,3.23E-05,0,0,0,0,2.29073274,0
107,1117.961488,11-04-2015 20:13:35,40.06213705,3,1,0.9104321,4.199653149,0.293292708,0,1.207088483,0,0,0,0,0,0,2.293292708,0
108,1127.976676,11-04-2015 20:13:45,50.07732525,3,1,0.891287565,4.199653149,0.295794928,0,1.217597119,0,0,0,0,0,0,2.295794928,0
109,1137.976977,11-04-2015 20:13:55,60.0776267,3,1,0.873045981,4.199976921,0.298248941,0,1.227903295,0,6.48E-05,0,0,0,0,2.298248941,0
110,1147.992548,11-04-2015 20:14:05,70.09319756,3,1,0.854985058,4.199653149,0.30065204,0,1.237995675,0,0,0,0,0,0,2.30065204,0
111,1158.008158,11-04-2015 20:14:15,80.10880748,3,1,0.837104738,4.199653149,0.303005783,0,1.247880766,0,-3.23E-05,0,0,0,0,2.303005783,0
112,1168.023731,11-04-2015 20:14:25,90.12437986,3,1,0.819946885,4.199653149,0.305311428,0,1.257563845,0,0,0,0,0,0,2.305311428,0
113,1178.038789,11-04-2015 20:14:35,100.1394386,3,1,0.803511441,4.199491024,0.307566573,0,1.267034804,0,-3.24E-05,0,0,0,0,2.307566573,0
114,1188.039005,11-04-2015 20:14:45,110.1396543,3,1,0.787437201,4.199814796,0.309779451,0,1.276328281,0,3.23E-05,0,0,0,0,2.309779451,0
115,1198.054711,11-04-2015 20:14:55,120.1553598,3,1,0.771724224,4.199814796,0.311947705,0,1.285434358,0,3.23E-05,0,0,0,0,2.311947705,0
116,1208.070237,11-04-2015 20:15:05,130.1708859,3,1,0.75619179,4.199814796,0.314072171,0,1.29435653,0,0,0,0,0,0,2.314072171,0
117,1218.085607,11-04-2015 20:15:15,140.1862566,3,1,0.740478814,4.199653149,0.316153751,0,1.303098596,0,-3.23E-05,0,0,0,0,2.316153751,0
118,1228.085719,11-04-2015 20:15:25,150.1863684,3,1,0.725668848,4.199653149,0.318189904,0,1.311649869,0,0,0,0,0,0,2.318189904,0
119,1238.101269,11-04-2015 20:15:35,160.2019186,3,1,0.711039484,4.199814796,0.320188219,0,1.320042242,0,3.23E-05,0,0,0,0,2.320188219,0
120,1248.116581,11-04-2015 20:15:45,170.2172304,3,1,0.696590722,4.199814796,0.322146323,0,1.32826574,0,3.23E-05,0,0,0,0,2.322146323,0
121,1258.116838,11-04-2015 20:15:55,180.2174871,3,1,0.682683825,4.199814796,0.324061998,0,1.336311043,0,0,0,0,0,0,2.324061998,0
122,1268.132376,11-04-2015 20:16:06,190.233025,3,1,0.668776929,4.199653149,0.325941993,0,1.344206503,0,0,0,0,0,0,2.325941993,0
123,1278.147465,11-04-2015 20:16:16,200.2481146,3,1,0.655773044,4.199653149,0.327781638,0,1.351932511,0,3.24E-05,0,0,0,0,2.327781638,0
124,1288.147804,11-04-2015 20:16:26,210.2484531,3,1,0.642227352,4.199814796,0.32958728,0,1.359515709,0,0,0,0,0,0,2.32958728,0
125,1298.163359,11-04-2015 20:16:36,220.2640084,3,1,0.62958467,4.199653149,0.331356921,0,1.366947703,0,-3.23E-05,0,0,0,0,2.331356921,0
126,1308.178954,11-04-2015 20:16:46,230.2796037,3,1,0.61712265,4.199653149,0.333091312,0,1.374231677,0,-3.23E-05,0,0,0,0,2.333091312,0
127,1318.194527,11-04-2015 20:16:56,240.2951761,3,1,0.605021834,4.199653149,0.334791117,0,1.381370397,0,-3.23E-05,0,0,0,0,2.334791117,0
128,1328.210023,11-04-2015 20:17:06,250.310672,3,1,0.592559814,4.199653149,0.336457075,0,1.388366967,0,0,0,0,0,0,2.336457075,0
129,1338.225619,11-04-2015 20:17:16,260.3262684,3,1,0.581362009,4.199814796,0.338089813,0,1.395224027,0,0,0,0,0,0,2.338089813,0
130,1348.24073,11-04-2015 20:17:26,270.3413794,3,1,0.569261193,4.199814796,0.339687683,0,1.40193464,0,0,0,0,0,0,2.339687683,0
131,1358.256765,11-04-2015 20:17:36,280.3574145,3,1,0.558424652,4.199653149,0.341258842,0,1.408533072,0,0,0,0,0,0,2.341258842,0
132,1368.27228,11-04-2015 20:17:46,290.3729289,3,1,0.547046244,4.199653149,0.342796391,0,1.414990364,0,0,0,0,0,0,2.342796391,0
133,1378.287787,11-04-2015 20:17:56,300.388436,3,1,0.5360291,4.199491024,0.344303426,0,1.421319501,0,-3.24E-05,0,0,0,0,2.344303426,0
134,1388.303392,11-04-2015 20:18:06,310.4040413,3,1,0.525734365,4.199814796,0.345780829,0,1.427524182,0,3.23E-05,0,0,0,0,2.345780829,0
135,1398.318901,11-04-2015 20:18:16,320.4195508,3,1,0.515259027,4.199653149,0.347229079,0,1.433606423,0,0,0,0,0,0,2.347229079,0
136,1408.334462,11-04-2015 20:18:26,330.435111,3,1,0.505144894,4.199814796,0.348648722,0,1.439568531,0,0,0,0,0,0,2.348648722,0
137,1418.349671,11-04-2015 20:18:36,340.4503204,3,1,0.495391995,4.199653149,0.350040393,0,1.445413159,0,0,0,0,0,0,2.350040393,0
138,1428.350106,11-04-2015 20:18:46,350.4507556,3,1,0.485458493,4.199653149,0.351402625,0,1.451134158,0,0,0,0,0,0,2.351402625,0
139,1438.36511,11-04-2015 20:18:56,360.465759,3,1,0.476066798,4.199653149,0.352738167,0,1.456743054,0,-3.23E-05,0,0,0,0,2.352738167,0
140,1448.381148,11-04-2015 20:19:06,370.4817973,3,1,0.466675133,4.199653149,0.354051591,0,1.462259073,0,-3.23E-05,0,0,0,0,2.354051591,0
141,1458.396603,11-04-2015 20:19:16,380.497252,3,1,0.457464069,4.199814796,0.355337035,0,1.467657585,0,0,0,0,0,0,2.355337035,0
142,1468.411958,11-04-2015 20:19:26,390.5126077,3,1,0.448794812,4.199653149,0.356597595,0,1.472951578,0,-3.23E-05,0,0,0,0,2.356597595,0
143,1478.412284,11-04-2015 20:19:36,400.5129329,3,1,0.439764351,4.199653149,0.357831857,0,1.478135124,0,3.24E-05,0,0,0,0,2.357831857,0
144,1488.427656,11-04-2015 20:19:46,410.5283057,3,1,0.43163693,4.199814796,0.35904397,0,1.48322566,0,6.48E-05,0,0,0,0,2.35904397,0
145,1498.443241,11-04-2015 20:19:56,420.5438908,3,1,0.423148304,4.199814796,0.360232583,0,1.48821749,0,3.23E-05,0,0,0,0,2.360232583,0
146,1508.458749,11-04-2015 20:20:06,430.5593982,3,1,0.414840251,4.199814796,0.361398169,0,1.493112639,0,3.23E-05,0,0,0,0,2.361398169,0
147,1518.474324,11-04-2015 20:20:16,440.5749728,3,1,0.406532228,4.199491024,0.362541249,0,1.497913262,0,-3.24E-05,0,0,0,0,2.362541249,0
148,1528.489883,11-04-2015 20:20:26,450.5905324,3,1,0.398585439,4.199491024,0.363661936,0,1.502619823,0,-3.24E-05,0,0,0,0,2.363661936,0
149,1538.505435,11-04-2015 20:20:36,460.6060848,3,1,0.391361058,4.199653149,0.364761073,0,1.507235888,0,0,0,0,0,0,2.364761073,0
150,1548.520966,11-04-2015 20:20:46,470.6216157,3,1,0.383594871,4.199653149,0.365839161,0,1.51176356,0,0,0,0,0,0,2.365839161,0
151,1558.536531,11-04-2015 20:20:56,480.6371799,3,1,0.37637049,4.199814796,0.366896608,0,1.51620455,0,0,0,0,0,0,2.366896608,0
152,1568.552113,11-04-2015 20:21:06,490.652762,3,1,0.368784904,4.199653149,0.367933692,0,1.52056003,0,0,0,0,0,0,2.367933692,0
153,1578.567667,11-04-2015 20:21:16,500.6683158,3,1,0.361921757,4.199814796,0.368950614,0,1.524830824,0,0,0,0,0,0,2.368950614,0
154,1588.583195,11-04-2015 20:21:26,510.6838445,3,1,0.355058581,4.199491024,0.369948121,0,1.529020091,0,-6.48E-05,0,0,0,0,2.369948121,0
155,1598.598738,11-04-2015 20:21:36,520.6993869,3,1,0.348014832,4.199653149,0.370926478,0,1.533128939,0,-3.23E-05,0,0,0,0,2.370926478,0
156,1608.614321,11-04-2015 20:21:46,530.71497,3,1,0.341693521,4.199814796,0.371886134,0,1.53715923,0,0,0,0,0,0,2.371886134,0
157,1618.629861,11-04-2015 20:21:56,540.7305103,3,1,0.335010976,4.199653149,0.372827465,0,1.541112562,0,3.24E-05,0,0,0,0,2.372827465,0
158,1628.645215,11-04-2015 20:22:06,550.7458639,3,1,0.328689635,4.199814796,0.373750997,0,1.544991153,0,0,0,0,0,0,2.373750997,0
159,1638.645247,11-04-2015 20:22:16,560.745896,3,1,0.322368324,4.199653149,0.374655547,0,1.548790022,0,3.24E-05,0,0,0,0,2.374655547,0
160,1648.660921,11-04-2015 20:22:26,570.7615701,3,1,0.316408217,4.199653149,0.375544278,0,1.552522447,0,0,0,0,0,0,2.375544278,0
161,1658.67648,11-04-2015 20:22:36,580.777129,3,1,0.31044811,4.199653149,0.376416098,0,1.556183852,0,0,0,0,0,0,2.376416098,0
162,1668.692029,11-04-2015 20:22:46,590.7926787,3,1,0.304849207,4.199814796,0.377271494,0,1.559776282,0,0,0,0,0,0,2.377271494,0
163,1678.707571,11-04-2015 20:22:56,600.8082203,3,1,0.298889101,4.199814796,0.378110889,0,1.563301504,0,6.48E-05,0,0,0,0,2.378110889,0
164,1688.723127,11-04-2015 20:23:06,610.8237759,3,1,0.293109626,4.199653149,0.378934507,0,1.566760466,0,0,0,0,0,0,2.378934507,0
165,1698.738778,11-04-2015 20:23:16,620.8394276,3,1,0.287510723,4.199653149,0.379742647,0,1.570154435,0,-3.23E-05,0,0,0,0,2.379742647,0
166,1708.754257,11-04-2015 20:23:26,630.8549062,3,1,0.282634288,4.199814796,0.380535703,0,1.573485048,0,6.48E-05,0,0,0,0,2.380535703,0
167,1718.769812,11-04-2015 20:23:36,640.8704616,3,1,0.277215987,4.199653149,0.381313894,0,1.576753233,0,0,0,0,0,0,2.381313894,0
168,1728.78539,11-04-2015 20:23:46,650.8860392,3,1,0.271797717,4.199491024,0.382077696,0,1.579960987,0,-3.24E-05,0,0,0,0,2.382077696,0
169,1738.800881,11-04-2015 20:23:56,660.9015307,3,1,0.266921282,4.199814796,0.382827206,0,1.583108717,0,0,0,0,0,0,2.382827206,0
