Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Have_Capacity(Ah),SoC(%),,,,,
29,340.1744661,11-12-2015 17:33:37,280.1728111,2,1,1.000014305,3.562956572,0.077817213,0,0.272466342,0,3.24E-05,0,0,0,0,0.082817213,0,,,,,
30,350.1782856,11-12-2015 17:33:47,290.1766306,2,1,1.000014305,3.56344223,0.080595755,0,0.282367029,0,3.24E-05,0,0,0,0,0.085595755,0,,,,,
31,360.1908296,11-12-2015 17:33:57,300.1891746,2,1,1.000194907,3.564089775,0.083376732,0,0.292277739,0,6.48E-05,0,0,0,0,0.088376732,0,,,,,
32,370.1975514,11-12-2015 17:34:07,310.1958964,2,1,1.000014305,3.564899206,0.086156074,0,0.302184427,0,6.48E-05,0,0,0,0,0.091156074,0,,,,,
33,380.2023072,11-12-2015 17:34:17,320.2006522,2,1,0.999833703,3.565222979,0.08893484,0,0.312090601,0,3.24E-05,0,0,0,0,0.09393484,0,,,,,
34,390.213058,11-12-2015 17:34:27,330.2114031,2,1,0.999833703,3.565870523,0.091715282,0,0.322004348,0,3.24E-05,0,0,0,0,0.096715282,0,,,,,
35,400.2187082,11-12-2015 17:34:37,340.2170532,2,1,1.000014305,3.566356182,0.094494313,0,0.331914628,0,3.24E-05,0,0,0,0,0.099494313,0,,,,,
36,410.22349,11-12-2015 17:34:47,350.2218352,2,1,0.999833703,3.567003727,0.097273091,0,0.341825677,0,6.48E-05,0,0,0,0,0.102273091,0,,,,,
37,420.2331138,11-12-2015 17:34:57,360.2314588,2,1,0.999833703,3.567651272,0.100053234,0,0.3517433,0,6.48E-05,0,0,0,0,0.105053234,0,,,,,
38,430.2408351,11-12-2015 17:35:07,370.2391802,2,1,0.999833703,3.56813693,0.102832842,0,0.361660749,0,3.24E-05,0,0,0,0,0.107832842,0,,,,,
39,440.2456452,11-12-2015 17:35:17,380.2439902,2,1,0.999833703,3.568622589,0.105611584,0,0.371576704,0,0,0,0,0,0,0.110611584,0,,,,,
40,450.2581862,11-12-2015 17:35:27,390.2565312,2,1,1.000014305,3.569593906,0.108392469,0,0.381502091,0,9.71E-05,0,0,0,0,0.113392469,0,,,,,
41,460.263965,11-12-2015 17:35:37,400.26231,2,1,0.999653101,3.570079565,0.111171489,0,0.391422638,0,3.24E-05,0,0,0,0,0.116171489,0,,,,,
42,470.2706677,11-12-2015 17:35:47,410.2690128,2,1,0.999833703,3.570888996,0.113950818,0,0.401346138,0,6.48E-05,0,0,0,0,0.118950818,0,,,,,
43,480.2803187,11-12-2015 17:35:57,420.2786638,2,1,0.999653101,3.571212769,0.116730959,0,0.411274277,0,-3.24E-05,0,0,0,0,0.121730959,0,,,,,
44,490.2870446,11-12-2015 17:36:07,430.2853896,2,1,0.999833703,3.5720222,0.119510251,0,0.421201247,0,3.24E-05,0,0,0,0,0.124510251,0,,,,,
45,500.2957431,11-12-2015 17:36:17,440.2940881,2,1,1.000014305,3.572831631,0.122290117,0,0.431132117,0,3.24E-05,0,0,0,0,0.127290117,0,,,,,
46,510.2980262,11-12-2015 17:36:27,450.2963709,2,1,0.999833703,3.573479176,0.125068205,0,0.441058552,0,6.48E-05,0,0,0,0,0.130068205,0,,,,,
47,520.3003934,11-12-2015 17:36:37,460.2987384,2,1,1.000014305,3.574288607,0.127846307,0,0.450986761,0,9.71E-05,0,0,0,0,0.132846307,0,,,,,
48,530.3071483,11-12-2015 17:36:47,470.3054934,2,1,1.000014305,3.574774265,0.130625608,0,0.460921222,0,6.48E-05,0,0,0,0,0.135625608,0,,,,,
49,540.3094207,11-12-2015 17:36:57,480.3077654,2,1,0.999833703,3.57542181,0.133403655,0,0.470853069,0,3.24E-05,0,0,0,0,0.138403655,0,,,,,
50,550.3117811,11-12-2015 17:37:07,490.3101261,2,1,1.000014305,3.576231241,0.13618177,0,0.480787087,0,6.48E-05,0,0,0,0,0.14118177,0,,,,,
51,560.3167441,11-12-2015 17:37:17,500.3150893,2,1,0.999833703,3.576878786,0.138960623,0,0.490725606,0,9.71E-05,0,0,0,0,0.143960623,0,,,,,
52,570.3234861,11-12-2015 17:37:27,510.3218312,2,1,0.999653101,3.577364445,0.141739962,0,0.500667865,0,0,0,0,0,0,0.146739962,0,,,,,
53,580.3241692,11-12-2015 17:37:37,520.3225142,2,1,0.999833703,3.578173876,0.144517614,0,0.510606002,0,3.24E-05,0,0,0,0,0.149517614,0,,,,,
54,590.3308848,11-12-2015 17:37:47,530.3292299,2,1,0.999833703,3.578821421,0.14729693,0,0.520552049,0,0,0,0,0,0,0.15229693,0,,,,,
55,600.3396103,11-12-2015 17:37:57,540.3379554,2,1,1.000014305,3.579630852,0.150076779,0,0.530501903,0,3.24E-05,0,0,0,0,0.155076779,0,,,,,
56,610.3521863,11-12-2015 17:38:07,550.3505313,2,1,1.000014305,3.580440283,0.152857706,0,0.540457656,0,6.48E-05,0,0,0,0,0.157857706,0,,,,,
57,620.3569806,11-12-2015 17:38:17,560.3553256,2,1,1.000194907,3.581249714,0.155636468,0,0.550407677,0,6.48E-05,0,0,0,0,0.160636468,0,,,,,
58,630.3627035,11-12-2015 17:38:27,570.3610485,2,1,1.000014305,3.581897259,0.158415512,0,0.56036066,0,6.48E-05,0,0,0,0,0.163415512,0,,,,,
59,640.3743351,11-12-2015 17:38:37,580.3726801,2,1,1.000014305,3.58270669,0.161196206,0,0.570321643,0,9.71E-05,0,0,0,0,0.166196206,0,,,,,
60,650.3800826,11-12-2015 17:38:47,590.3784276,2,1,0.999833703,3.583192348,0.16397524,0,0.580278701,0,3.24E-05,0,0,0,0,0.16897524,0,,,,,
61,660.387803,11-12-2015 17:38:57,600.386148,2,1,0.999833703,3.58400178,0.166754859,0,0.590239939,0,3.24E-05,0,0,0,0,0.171754859,0,,,,,
62,670.3973954,11-12-2015 17:39:07,610.3957404,2,1,1.000014305,3.584973097,0.169534994,0,0.600204896,0,0.000129509,0,0,0,0,0.174534994,0,,,,,
63,680.404141,11-12-2015 17:39:17,620.402486,2,1,1.000014305,3.585458755,0.172314359,0,0.610169328,0,3.24E-05,0,0,0,0,0.177314359,0,,,,,
64,690.4089293,11-12-2015 17:39:27,630.4072743,2,1,1.000014305,3.586430073,0.175093137,0,0.620133789,0,6.48E-05,0,0,0,0,0.180093137,0,,,,,
65,700.4195652,11-12-2015 17:39:37,640.4179103,2,1,1.000014305,3.587077618,0.177873534,0,0.630106149,0,3.24E-05,0,0,0,0,0.182873534,0,,,,,
66,710.4243097,11-12-2015 17:39:47,650.4226547,2,1,0.999833703,3.587887049,0.180652313,0,0.640074951,0,6.48E-05,0,0,0,0,0.185652313,0,,,,,
67,720.4310771,11-12-2015 17:39:57,660.4294221,2,1,0.999833703,3.58869648,0.183431653,0,0.650047963,0,3.24E-05,0,0,0,0,0.188431653,0,,,,,
68,730.4398073,11-12-2015 17:40:07,670.4381524,2,1,1.000014305,3.589505911,0.18621149,0,0.660024944,0,6.48E-05,0,0,0,0,0.19121149,0,,,,,
69,740.4435574,11-12-2015 17:40:17,680.4419024,2,1,1.000014305,3.590315342,0.188989933,0,0.669999205,0,6.48E-05,0,0,0,0,0.193989933,0,,,,,
70,750.4482957,11-12-2015 17:40:27,690.4466407,2,1,0.999833703,3.591124773,0.191768714,0,0.679976989,0,6.48E-05,0,0,0,0,0.196768714,0,,,,,
71,760.4589611,11-12-2015 17:40:37,700.4573061,2,1,0.999833703,3.591934204,0.194549094,0,0.689962884,0,0,0,0,0,0,0.199549094,0,,,,,
72,770.4666683,11-12-2015 17:40:47,710.4650133,2,1,1.000014305,3.592905283,0.197328712,0,0.699948477,0,6.48E-05,0,0,0,0,0.202328712,0,,,,,
73,780.4792619,11-12-2015 17:40:57,720.4776069,2,1,1.000014305,3.5938766,0.200109682,0,0.709941455,0,6.48E-05,0,0,0,0,0.205109682,0,,,,,
74,790.4908362,11-12-2015 17:41:07,730.4891813,2,1,0.999653101,3.594686031,0.202890332,0,0.719935702,0,6.48E-05,0,0,0,0,0.207890332,0,,,,,
75,800.4956476,11-12-2015 17:41:17,740.4939926,2,1,1.000194907,3.595657349,0.205669145,0,0.729925934,0,6.48E-05,0,0,0,0,0.210669145,0,,,,,
76,810.4993943,11-12-2015 17:41:27,750.4977393,2,1,0.999833703,3.596628666,0.208447674,0,0.739917794,0,6.48E-05,0,0,0,0,0.213447674,0,,,,,
77,820.5100787,11-12-2015 17:41:38,760.5084237,2,1,0.999833703,3.597599983,0.211228108,0,0.749919184,0,6.48E-05,0,0,0,0,0.216228108,0,,,,,
78,830.5148316,11-12-2015 17:41:48,770.5131766,2,1,0.999833703,3.598571301,0.214006864,0,0.75991729,0,6.48E-05,0,0,0,0,0.219006864,0,,,,,
79,840.5244914,11-12-2015 17:41:58,780.5228364,2,1,0.999833703,3.599542618,0.216787012,0,0.769923284,0,6.48E-05,0,0,0,0,0.221787012,0,,,,,
80,850.5370721,11-12-2015 17:42:08,790.5354172,2,1,0.999833703,3.600513935,0.219567928,0,0.77993484,0,6.48E-05,0,0,0,0,0.224567928,0,,,,,
81,860.5438502,11-12-2015 17:42:18,800.5421952,2,1,0.999833703,3.601647139,0.222347257,0,0.789943649,0,6.48E-05,0,0,0,0,0.227347257,0,,,,,
82,870.5505069,11-12-2015 17:42:28,810.5488519,2,1,1.000014305,3.602780342,0.225126613,0,0.799955552,0,6.48E-05,0,0,0,0,0.230126613,0,,,,,
83,880.5631509,11-12-2015 17:42:38,820.5614959,2,1,0.999833703,3.604075432,0.227907596,0,0.809976346,0,0.000129509,0,0,0,0,0.232907596,0,,,,,
84,890.56786,11-12-2015 17:42:48,830.566205,2,1,0.999833703,3.604884863,0.230686384,0,0.819992284,0,6.48E-05,0,0,0,0,0.235686384,0,,,,,
85,900.5775438,11-12-2015 17:42:58,840.5758888,2,1,0.999653101,3.606018066,0.233466574,0,0.830016387,0,3.24E-05,0,0,0,0,0.238466574,0,,,,,
86,910.5891378,11-12-2015 17:43:08,850.5874828,2,1,1.000014305,3.607313156,0.236247279,0,0.840045606,0,6.48E-05,0,0,0,0,0.241247279,0,,,,,
87,920.5939612,11-12-2015 17:43:18,860.5923062,2,1,1.000014305,3.608608246,0.239026075,0,0.850071096,0,9.71E-05,0,0,0,0,0.244026075,0,,,,,
88,930.5997003,11-12-2015 17:43:28,870.5980453,2,1,0.999833703,3.609741449,0.241805123,0,0.860100824,0,9.71E-05,0,0,0,0,0.246805123,0,,,,,
89,940.6113209,11-12-2015 17:43:38,880.6096659,2,1,0.999833703,3.610712767,0.244585776,0,0.870139563,0,3.24E-05,0,0,0,0,0.249585776,0,,,,,
90,950.6170393,11-12-2015 17:43:48,890.6153843,2,1,0.999833703,3.612007856,0.247364766,0,0.880175661,0,6.48E-05,0,0,0,0,0.252364766,0,,,,,
91,960.6218271,11-12-2015 17:43:58,900.6201721,2,1,0.999833703,3.612979174,0.250143541,0,0.890214278,0,0,0,0,0,0,0.255143541,0,,,,,
92,970.622695,11-12-2015 17:44:08,910.6210401,2,1,1.000014305,3.61443615,0.252921267,0,0.900252493,0,9.71E-05,0,0,0,0,0.257921267,0,,,,,
93,980.6274556,11-12-2015 17:44:18,920.6258006,2,1,0.999833703,3.615569353,0.25570009,0,0.91029794,0,9.71E-05,0,0,0,0,0.26070009,0,,,,,
94,990.6341948,11-12-2015 17:44:28,930.6325398,2,1,0.999653101,3.616702557,0.25847942,0,0.920348561,0,6.48E-05,0,0,0,0,0.26347942,0,,,,,
95,1000.643871,11-12-2015 17:44:38,940.6422163,2,1,1.000014305,3.617997646,0.261259543,0,0.930405438,0,9.71E-05,0,0,0,0,0.266259543,0,,,,,
96,1010.651594,11-12-2015 17:44:48,950.6499391,2,1,1.000014305,3.619292736,0.26403915,0,0.940463876,0,9.71E-05,0,0,0,0,0.26903915,0,,,,,
97,1020.65632,11-12-2015 17:44:58,960.6546649,2,1,0.999833703,3.62042594,0.266817934,0,0.950522772,0,6.48E-05,0,0,0,0,0.271817934,0,,,,,
98,1030.667978,11-12-2015 17:45:08,970.6663231,2,1,0.999833703,3.621721029,0.269598619,0,0.960591938,0,9.71E-05,0,0,0,0,0.274598619,0,,,,,
99,1040.675697,11-12-2015 17:45:18,980.6740425,2,1,0.999833703,3.622854233,0.272378258,0,0.97066079,0,6.48E-05,0,0,0,0,0.277378258,0,,,,,
100,1050.680412,11-12-2015 17:45:28,990.6787568,2,1,1.000194907,3.624311209,0.275157039,0,0.98072992,0,0.000129509,0,0,0,0,0.280157039,0,,,,,
101,1060.690085,11-12-2015 17:45:38,1000.68843,2,1,0.999833703,3.625444412,0.277937206,0,0.990807545,0,6.48E-05,0,0,0,0,0.282937206,0,,,,,
102,1070.695827,11-12-2015 17:45:48,1010.694172,2,1,0.999833703,3.626577616,0.280716253,0,1.000884411,0,9.71E-05,0,0,0,0,0.285716253,0,,,,,
103,1080.700621,11-12-2015 17:45:58,1020.698966,2,1,0.999653101,3.627872705,0.283495036,0,1.010963856,0,9.71E-05,0,0,0,0,0.288495036,0,,,,,
104,1090.711248,11-12-2015 17:46:08,1030.709593,2,1,0.999833703,3.629167795,0.286275476,0,1.021052807,0,9.71E-05,0,0,0,0,0.291275476,0,,,,,
105,1100.719901,11-12-2015 17:46:18,1040.718246,2,1,0.999833703,3.630462885,0.289055322,0,1.031143102,0,9.71E-05,0,0,0,0,0.294055322,0,,,,,
106,1110.723721,11-12-2015 17:46:28,1050.722066,2,1,0.999833703,3.631757975,0.291833817,0,1.041231934,0,6.48E-05,0,0,0,0,0.296833817,0,,,,,
107,1120.73343,11-12-2015 17:46:38,1060.731775,2,1,0.999833703,3.633053064,0.294613953,0,1.051330269,0,9.71E-05,0,0,0,0,0.299613953,0,,,,,
108,1130.737099,11-12-2015 17:46:48,1070.735444,2,1,1.000014305,3.634348154,0.297392476,0,1.061426188,0,9.71E-05,0,0,0,0,0.302392476,0,,,,,
109,1140.743901,11-12-2015 17:46:58,1080.742246,2,1,0.999833703,3.635481358,0.300171824,0,1.071528534,0,9.71E-05,0,0,0,0,0.305171824,0,,,,,
110,1150.753534,11-12-2015 17:47:08,1090.751879,2,1,0.999833703,3.636776447,0.302951991,0,1.081637152,0,9.71E-05,0,0,0,0,0.307951991,0,,,,,
111,1160.757362,11-12-2015 17:47:18,1100.755707,2,1,0.999833703,3.637747765,0.305730563,0,1.091743344,0,3.24E-05,0,0,0,0,0.310730563,0,,,,,
112,1170.762171,11-12-2015 17:47:28,1110.760517,2,1,1.000014305,3.639204741,0.308509394,0,1.101853725,0,0.000129509,0,0,0,0,0.313509394,0,,,,,
113,1180.772766,11-12-2015 17:47:38,1120.771111,2,1,1.000014305,3.640176058,0.311289869,0,1.111973306,0,6.48E-05,0,0,0,0,0.316289869,0,,,,,
114,1190.775602,11-12-2015 17:47:48,1130.773947,2,1,1.000014305,3.641309261,0.314068131,0,1.122088016,0,9.71E-05,0,0,0,0,0.319068131,0,,,,,
115,1200.781321,11-12-2015 17:47:58,1140.779666,2,1,1.000014305,3.642442465,0.316847193,0,1.132208735,0,9.71E-05,0,0,0,0,0.321847193,0,,,,,
116,1210.790975,11-12-2015 17:48:08,1150.78932,2,1,0.999653101,3.643251896,0.319627362,0,1.142336623,0,3.24E-05,0,0,0,0,0.324627362,0,,,,,
117,1220.794773,11-12-2015 17:48:18,1160.793118,2,1,0.999833703,3.644546986,0.322405928,0,1.152461698,0,6.48E-05,0,0,0,0,0.327405928,0,,,,,
118,1230.798571,11-12-2015 17:48:28,1170.796916,2,1,0.999833703,3.645518303,0.325184486,0,1.162589847,0,0,0,0,0,0,0.330184486,0,,,,,
119,1240.808232,11-12-2015 17:48:38,1180.806577,2,1,0.999833703,3.646651506,0.327964677,0,1.172726727,0,6.48E-05,0,0,0,0,0.332964677,0,,,,,
120,1250.812044,11-12-2015 17:48:48,1190.810389,2,1,1.000014305,3.647946596,0.330743221,0,1.182860896,0,6.48E-05,0,0,0,0,0.335743221,0,,,,,
121,1260.81584,11-12-2015 17:48:58,1200.814185,2,1,0.999833703,3.648917913,0.333521789,0,1.192998207,0,6.48E-05,0,0,0,0,0.338521789,0,,,,,
122,1270.826453,11-12-2015 17:49:08,1210.824798,2,1,0.999833703,3.650051117,0.336302194,0,1.203145205,0,3.24E-05,0,0,0,0,0.341302194,0,,,,,
123,1280.830285,11-12-2015 17:49:18,1220.82863,2,1,1.000014305,3.65118432,0.339080737,0,1.213288497,0,3.24E-05,0,0,0,0,0.344080737,0,,,,,
124,1290.83605,11-12-2015 17:49:28,1230.834395,2,1,0.999833703,3.652155638,0.341859765,0,1.223436547,0,6.48E-05,0,0,0,0,0.346859765,0,,,,,
125,1300.846698,11-12-2015 17:49:38,1240.845043,2,1,0.999833703,3.653288841,0.344640155,0,1.233592677,0,6.48E-05,0,0,0,0,0.349640155,0,,,,,
126,1310.852411,11-12-2015 17:49:48,1250.850756,2,1,0.999833703,3.654583931,0.347419217,0,1.243747104,0,9.71E-05,0,0,0,0,0.352419217,0,,,,,
127,1320.858145,11-12-2015 17:49:58,1260.85649,2,1,0.999833703,3.655717134,0.350198286,0,1.253904704,0,9.71E-05,0,0,0,0,0.355198286,0,,,,,
128,1330.859007,11-12-2015 17:50:08,1270.857352,2,1,0.999833703,3.656526566,0.352976009,0,1.264060495,0,3.24E-05,0,0,0,0,0.357976009,0,,,,,
129,1340.863839,11-12-2015 17:50:18,1280.862184,2,1,1.000014305,3.657821655,0.355754786,0,1.274223288,0,6.48E-05,0,0,0,0,0.360754786,0,,,,,
130,1350.86761,11-12-2015 17:50:28,1290.865955,2,1,0.999653101,3.658792973,0.358533309,0,1.284388395,0,3.24E-05,0,0,0,0,0.363533309,0,,,,,
131,1360.876287,11-12-2015 17:50:38,1300.874632,2,1,0.999833703,3.660249949,0.361313167,0,1.294561571,0,9.71E-05,0,0,0,0,0.366313167,0,,,,,
132,1370.880073,11-12-2015 17:50:48,1310.878418,2,1,0.999833703,3.661383152,0.364091652,0,1.304732978,0,6.48E-05,0,0,0,0,0.369091652,0,,,,,
133,1380.883853,11-12-2015 17:50:58,1320.882198,2,1,0.999833703,3.662516356,0.3668701,0,1.314907456,0,9.71E-05,0,0,0,0,0.3718701,0,,,,,
134,1390.894523,11-12-2015 17:51:08,1330.892868,2,1,1.000014305,3.663811445,0.369650518,0,1.325092477,0,0.000129509,0,0,0,0,0.374650518,0,,,,,
135,1400.898306,11-12-2015 17:51:18,1340.896651,2,1,0.999833703,3.664944649,0.372429049,0,1.335273772,0,9.71E-05,0,0,0,0,0.377429049,0,,,,,
136,1410.902104,11-12-2015 17:51:28,1350.900449,2,1,1.000014305,3.666077852,0.375207561,0,1.345458214,0,9.71E-05,0,0,0,0,0.380207561,0,,,,,
137,1420.912761,11-12-2015 17:51:38,1360.911106,2,1,0.999833703,3.66704917,0.377987977,0,1.355652723,0,3.24E-05,0,0,0,0,0.382987977,0,,,,,
138,1430.916555,11-12-2015 17:51:48,1370.9149,2,1,1.000014305,3.668182373,0.380766462,0,1.365843152,0,6.48E-05,0,0,0,0,0.385766462,0,,,,,
139,1440.920362,11-12-2015 17:51:58,1380.918707,2,1,0.999833703,3.669315577,0.383544967,0,1.376036746,0,9.71E-05,0,0,0,0,0.388544967,0,,,,,
140,1450.930955,11-12-2015 17:52:08,1390.9293,2,1,0.999833703,3.67044878,0.38632534,0,1.386240077,0,6.48E-05,0,0,0,0,0.39132534,0,,,,,
141,1460.936732,11-12-2015 17:52:18,1400.935077,2,1,0.999833703,3.671096325,0.389104397,0,1.396441487,0,3.24E-05,0,0,0,0,0.394104397,0,,,,,
142,1470.940512,11-12-2015 17:52:28,1410.938857,2,1,0.999833703,3.672067642,0.391882905,0,1.406643633,0,0,0,0,0,0,0.396882905,0,,,,,
143,1480.951159,11-12-2015 17:52:38,1420.949504,2,1,0.999833703,3.673200607,0.394663296,0,1.416855272,0,6.48E-05,0,0,0,0,0.399663296,0,,,,,
144,1490.955919,11-12-2015 17:52:48,1430.954264,2,1,0.999833703,3.674010038,0.397442024,0,1.427063363,0,3.24E-05,0,0,0,0,0.402442024,0,,,,,
145,1500.961687,11-12-2015 17:52:58,1440.960032,2,1,0.999653101,3.674981356,0.400221088,0,1.437275101,0,9.71E-05,0,0,0,0,0.405221088,0,,,,,
146,1510.97332,11-12-2015 17:53:08,1450.971665,2,1,1.000014305,3.675790787,0.403001803,0,1.447495266,0,6.48E-05,0,0,0,0,0.408001803,0,,,,,
147,1520.980979,11-12-2015 17:53:18,1460.979324,2,1,0.999833703,3.676762104,0.405781364,0,1.457713344,0,9.71E-05,0,0,0,0,0.410781364,0,,,,,
148,1530.98479,11-12-2015 17:53:28,1470.983135,2,1,1.000014305,3.677409649,0.408559883,0,1.467929765,0,6.48E-05,0,0,0,0,0.413559883,0,,,,,
149,1540.995424,11-12-2015 17:53:38,1480.993769,2,1,0.999653101,3.678057194,0.411340327,0,1.478155253,0,3.24E-05,0,0,0,0,0.416340327,0,,,,,
150,1550.999299,11-12-2015 17:53:48,1490.997644,2,1,0.999833703,3.678704739,0.41411883,0,1.488375594,0,3.24E-05,0,0,0,0,0.41911883,0,,,,,
151,1561.004027,11-12-2015 17:53:58,1501.002372,2,1,1.000014305,3.67951417,0.416897565,0,1.498598687,0,9.71E-05,0,0,0,0,0.421897565,0,,,,,
152,1571.014645,11-12-2015 17:54:08,1511.01299,2,1,0.999833703,3.679999828,0.419677974,0,1.50882972,0,6.48E-05,0,0,0,0,0.424677974,0,,,,,
153,1581.02134,11-12-2015 17:54:18,1521.019685,2,1,0.999833703,3.680485487,0.422457273,0,1.519058361,0,-3.24E-05,0,0,0,0,0.427457273,0,,,,,
154,1591.025156,11-12-2015 17:54:28,1531.023501,2,1,1.000014305,3.681294918,0.425235775,0,1.529285785,0,6.48E-05,0,0,0,0,0.430235775,0,,,,,
155,1601.034803,11-12-2015 17:54:38,1541.033148,2,1,0.999833703,3.681942463,0.428015955,0,1.539521004,0,3.24E-05,0,0,0,0,0.433015955,0,,,,,
156,1611.038598,11-12-2015 17:54:48,1551.036943,2,1,0.999833703,3.682266235,0.430794492,0,1.549751771,0,0,0,0,0,0,0.435794492,0,,,,,
157,1621.043416,11-12-2015 17:54:58,1561.041761,2,1,1.000014305,3.68291378,0.433573255,0,1.559984666,0,9.71E-05,0,0,0,0,0.438573255,0,,,,,
